,Regime_0,Regime_1,Regime_2
2014-05-22,0.00017635355074509422,0.0010137506617389908,0.9988098957875527
2014-05-23,0.0009857074065300977,1.159813946920544e-05,0.999002694453946
2014-05-26,1.994838277962197e-05,4.258719865597755e-05,0.9999374644185256
2014-05-27,5.808613062491473e-05,0.00012214903776352573,0.999819764831666
2014-05-28,0.00017174227598211228,0.0007995871625542083,0.9990286705615001
2014-05-29,0.0009174708445796941,0.001336994571790647,0.9977455345835968
2014-05-30,0.002053881122298342,0.003077254890674363,0.994868863986978
2014-06-02,0.0039054544440416993,0.04717243539318351,0.9489221101627402
2014-06-03,0.0861530323144043,0.05880592304828475,0.8550410446372699
2014-06-04,0.0681314391242846,0.799749911916448,0.132118648959256
2014-06-05,0.8306084640699973,0.13046809932313871,0.03892343660689776
2014-06-06,0.13088237734639652,0.8482272896671443,0.0208903329864171
2014-06-09,0.8496612698984858,0.13278993160533165,0.017548798496151912
2014-06-10,0.1331590749111929,0.8630357477339351,0.003805177354881074
2014-06-11,0.8632301911388496,0.1338088375480483,0.0029609713131458167
2014-06-12,0.9999999999796501,2.0382722907678782e-11,6.145174950357926e-49
2014-06-13,0.0006787441702893581,0.9993212558296577,6.155622282929844e-15
2014-06-16,0.988505194646625,0.011494804685080016,6.683027043932154e-10
2014-06-17,0.011971464280936938,0.9880285357179066,1.1932612311553712e-12
2014-06-18,0.981712476400011,0.018287522799978063,8.000320474968231e-10
2014-06-19,0.01850290705104036,0.9814970929174975,3.14378249008952e-11
2014-06-20,0.969231237961033,0.030768759723735495,2.315268693710043e-09
2014-06-23,0.030856017627405165,0.9691439815874815,7.850595310664661e-10
2014-06-24,0.9601622467577342,0.0398377502018401,3.0404563216871732e-09
2014-06-25,0.039833098301944446,0.9601669016733618,2.4647991643050538e-11
2014-06-26,0.9540497304335405,0.04595025853413902,1.1032270886171383e-08
2014-06-27,0.04601858287118143,0.9539814170745425,5.433161980084089e-11
2014-06-30,0.9477388700862672,0.05226112955974707,3.540346381974011e-10
2014-07-01,0.05199484258081727,0.9480051573689596,5.02006793772167e-11
2014-07-02,0.9420076078920905,0.05799239199734709,1.1058707463736487e-10
2014-07-03,0.05783091413265391,0.9421690858443927,2.2963394954025243e-11
2014-07-04,0.9306595935595376,0.06934040637650615,6.39873358646065e-11
2014-07-07,0.07018266054315928,0.9298173394448137,1.2055130465625912e-11
2014-07-08,0.9204983993349121,0.07950159314729607,7.517830854067872e-09
2014-07-09,0.08040768475246751,0.9195923151821613,6.535371223141167e-11
2014-07-10,0.8962900677715584,0.10370968765212875,2.4457629444293676e-07
2014-07-11,4.604631703110644e-26,0.9999999999917577,8.25365346003134e-12
2014-07-14,0.00013191585868663273,1.7315184134331953e-08,0.9998680668261074
2014-07-15,6.876030557737125e-10,0.0001329376091951332,0.999867061703215
2014-07-16,9.52455358109767e-09,9.643879812094147e-07,0.9999990260874565
2014-07-17,4.345391296393493e-10,1.3213110882310498e-06,0.9999986782543924
2014-07-18,2.395455088487292e-10,7.75597636432754e-07,0.9999992241628374
2014-07-21,3.370026834154621e-10,7.040790730770029e-07,0.9999992955839255
2014-07-22,6.723641799336619e-10,8.317854159578659e-07,0.9999991675422334
2014-07-23,7.647191313305113e-10,1.6555215138522681e-06,0.9999983437137491
2014-07-24,4.122310887666359e-10,6.822770788196221e-07,0.9999993173107157
2014-07-25,1.1676633615527137e-09,1.4617874937773945e-06,0.99999853704485
2014-07-28,1.1681402483486215e-09,2.558567405863137e-06,0.9999974402644304
2014-07-30,8.144216577854295e-10,1.2374169140857618e-06,0.9999987617686364
2014-07-31,8.437116237306906e-09,1.6226339839418086e-06,0.9999983689288797
2014-08-01,6.420684787579356e-08,1.2940232582360831e-05,0.9999869955605941
2014-08-04,7.789023048569623e-07,1.2828652076266047e-05,0.9999863924456206
2014-08-05,2.0051801826063517e-06,5.571784588289858e-05,0.9999422769739255
2014-08-06,2.4553617914311187e-05,9.523902862410104e-05,0.9998802073534684
2014-08-07,9.148611250176573e-05,0.00041447368138412295,0.9994940402061393
2014-08-08,0.0005817523729495995,0.0027279344975767667,0.99669031312949
2014-08-11,0.0028421624517863584,0.00508143696034898,0.9920764005878868
2014-08-12,4.534644804863756e-13,0.9999999999995453,3.1868238053322094e-125
2014-08-13,0.009305082199095411,7.850153692551067e-05,0.990616416263998
2014-08-14,1.3022389891270162e-05,0.009292898514783324,0.9906940790953219
2014-08-18,5.755960961311668e-05,1.347513656231917e-05,0.9999289652538219
2014-08-19,3.805895835747809e-06,5.7371249643685305e-05,0.9999388228545161
2014-08-20,4.8853105210902835e-06,3.8406940865569e-06,0.9999912739954064
2014-08-21,4.299970150349459e-06,4.903174724943206e-06,0.9999907968551165
2014-08-22,8.133227482070471e-06,4.332597709464365e-06,0.9999875341748007
2014-08-25,8.880317946283379e-06,8.14430588010243e-06,0.9999829753761826
2014-08-26,1.2981938249105779e-05,8.855181857491008e-06,0.9999781628799022
2014-08-27,4.082117953610708e-05,1.2951694961642736e-05,0.9999462271255202
2014-08-28,1.7398371835087333e-05,4.0771475906600586e-05,0.9999418301522819
2014-09-01,9.499732459217636e-06,1.7379890625942093e-05,0.9999731203768883
2014-09-02,1.6147869919386868e-05,9.469172751618161e-06,0.9999743829573268
2014-09-03,9.262613431149508e-05,1.593119519534387e-05,0.9998914426704895
2014-09-04,2.206023839779253e-05,9.23636860848376e-05,0.9998855760755178
2014-09-05,1.5775866603647052e-05,2.2074176360486466e-05,0.999962149957061
