Date,Regime_0,Regime_1,Regime_2
2022-05-27,1.0526446236398028e-08,3.0441755144849424e-08,0.9999999590327215
2022-05-30,1.4808634296805139e-08,3.918219538318646e-08,0.999999946008758
2022-05-31,8.204092477767519e-08,1.3677122188908827e-07,0.9999997811865127
2022-06-01,8.508170379087443e-08,1.5846883313224984e-07,0.9999997564482624
2022-06-02,1.7773521136614012e-07,1.75904252776425e-07,0.9999996463594186
2022-06-03,5.835075954080288e-07,6.188119065176008e-07,0.9999987976814688
2022-06-06,1.381953815129419e-06,8.228344529475971e-07,0.9999977952126504
2022-06-07,1.1109804447158172e-06,1.8754951143938144e-06,0.9999970135258112
2022-06-08,2.6680537046355527e-06,1.3060500440778463e-06,0.9999960258980378
2022-06-09,5.371163555642351e-07,3.4723519511087585e-06,0.999995990533387
2022-06-10,1.4335062185576848e-08,6.298094906499678e-07,0.9999993558560419
2022-06-13,3.108862506012833e-08,2.442090829907183e-08,0.9999999444917209
2022-06-14,6.065631874269229e-07,4.320148388652943e-07,0.9999989614230735
2022-06-15,2.346892097609169e-07,8.264879371426678e-07,0.9999989388239728
2022-06-16,1.6981553178605907e-06,3.334548488800284e-07,0.9999979683909888
2022-06-17,4.6306988895678145e-06,3.68932785733473e-06,0.9999916799734418
2022-06-20,2.1643316510699458e-06,4.803764758670749e-06,0.9999930319051538
2022-06-21,3.6343031532618084e-07,3.03970231489964e-06,0.9999965968657916
2022-06-22,3.6884069919250804e-07,4.1252046965894827e-07,0.9999992186388551
2022-06-23,9.185980830462789e-06,8.235619605887533e-07,0.9999899904569983
2022-06-24,2.384521201451783e-05,1.0676915213496586e-05,0.9999654778723212
2022-06-27,2.3931127361183257e-05,2.5235104348364644e-05,0.9999508337686879
2022-06-28,3.4066390284043657e-06,2.597034215068592e-05,0.9999706230177731
2022-06-29,1.1525830393291349e-05,3.629969200872298e-06,0.9999848442005524
2022-06-30,2.419522756652988e-06,1.6180124615793105e-05,0.9999814003514882
2022-07-01,7.10110591673119e-06,2.4686361397460957e-06,0.9999904302588647
2022-07-04,0.00011538411599702903,1.7435676906704186e-05,0.9998671802087796
2022-07-05,0.00046140287604261836,0.00011848101721360376,0.9994201161055737
2022-07-06,5.013397782434335e-05,0.0004783411289235254,0.9994715248914738
2022-07-07,0.020675014201152263,6.572744905069034e-05,0.9792592583492501
2022-07-08,0.010506485659597192,0.025906955754067963,0.963586558584546
2022-07-11,0.5880709784630542,0.010867466587493544,0.40106155495059065
2022-07-12,0.02690609151181535,0.5941152286160604,0.37897867987382855
2022-07-13,0.8760707144771347,0.027148031782804522,0.09678125374139353
2022-07-14,0.03393863051136493,0.8848161972660176,0.08124517222389564
2022-07-15,0.9645734387489542,0.03371082787949563,0.0017157333701208178
2022-07-18,0.03027410533978784,0.9683749042386918,0.0013509904211883974
2022-07-19,0.9696073898617933,0.03038334102822867,9.269110067345113e-06
2022-07-20,0.02888270050894608,0.9711140201104833,3.2793802095157033e-06
