,Strategy
2015-10-05,0.004163399256784994
2015-10-06,-0.012897101122283877
2015-10-07,-0.010404626850426611
2015-10-08,-0.000520067999998728
2015-10-09,0.017478325016054962
2015-10-12,-0.021398830559532567
2015-10-13,-0.011748113622614853
2015-10-14,-0.0009191255196661166
2015-10-15,-0.00012789892247034294
2015-10-16,0.003897946381188978
2015-10-19,0.00874169295523804
2015-10-20,0.0070678879720938925
2015-10-21,0.006207138732829973
2015-10-23,0.005670954428393532
2015-10-26,0.0010984041550983036
2015-10-27,-0.0013398679662071846
2015-10-28,0.0018557862529381462
2015-10-29,-0.003967251797272579
2015-10-30,-0.001651108209911318
2015-11-02,-0.006873789395721424
2015-11-03,0.0007666425650099787
2015-11-04,-0.008007047775948592
2015-11-05,-0.000788862872683276
2015-11-06,0.009919986055952049
2015-11-09,-0.0068706868270124325
2015-11-10,-0.02571171744616749
2015-11-13,-0.001115357407308007
2015-11-16,-0.013943659588550462
2015-11-17,-6.518941098724999e-05
2015-11-18,-0.033996602821765476
2015-11-19,0.008929796526560972
2015-11-20,0.005886053941238748
2015-11-23,-0.002067633135510092
2015-11-24,-0.009112544292319141
2015-11-26,-0.0001733406653838537
2015-11-27,0.011949849217805267
2015-11-30,-0.0007051668536814661
2015-12-01,-0.0046550394352756425
2015-12-02,-0.002214764007392569
2015-12-03,-0.0021644622423445466
2015-12-04,-0.009125868782417449
2015-12-07,-0.01053398217941531
2015-12-08,-0.008888651310870806
2015-12-09,-0.0201658466614843
2015-12-10,0.02854705967174729
2015-12-11,0.0020763620889874468
2015-12-14,0.0017123169160897888
2015-12-15,0.01652856653273514
2015-12-16,0.0021386517160015034
2015-12-17,0.02407989040829238
2015-12-18,-0.013379700776316334
2015-12-21,0.00015297156563302925
2015-12-22,-0.003671924540047421
2015-12-23,0.0126839602737622
2015-12-24,-0.0024574503170136305
2015-12-28,0.0074717768602296526
2015-12-29,0.0037557491051005876
2015-12-30,-0.008147293103478401
2015-12-31,0.007631277696253875
2016-01-04,-0.014437201150716183
2016-01-05,-0.0028531502463747973
2016-01-06,0.007247784777834887
2016-01-07,-0.0110915131263955
2016-01-08,0.0065948540653763005
2016-01-11,-0.003989287957517091
2016-01-12,-0.010154090343214281
2016-01-13,0.015106837546688914
2016-01-14,-0.0021853770285636853
2016-01-15,-0.005368234663064402
2016-01-18,-0.014333404922767905
2016-01-19,0.00922680657800722
2016-01-20,-0.016644182485901528
2016-01-21,0.005859520897222297
2016-01-22,0.006009952604710894
2016-01-25,0.009176934952864148
2016-01-27,-0.004418293199910419
2016-01-28,-0.00432330533891534
2016-01-29,0.019288827918527165
2016-02-01,0.009051600309322666
2016-02-02,-0.004549438761252125
2016-02-03,-0.010137244022108938
2016-02-04,0.013248741722481888
2016-02-05,-0.002977502145037174
2016-02-08,-0.014152866449351832
2016-02-09,-0.02608294506617549
2016-02-10,0.0005652768951510376
2016-02-11,-0.01876257172839176
2016-02-12,0.003869487169876223
2016-02-15,0.0045535976304439795
2016-02-16,-0.008028519132488827
2016-02-17,0.012054177636144659
2016-02-18,0.016189123766818143
2016-02-19,0.0023838829768132322
2016-02-22,-0.00037016723125074335
2016-02-23,-0.0016977910982148288
2016-02-24,0.0008972946963522971
2016-02-25,-0.009303018519530054
2016-02-26,0.006797741219349708
2016-02-29,-0.02301882798810882
2016-03-01,0.026565894090931064
2016-03-02,0.01888252690646722
2016-03-03,0.008003259556076328
2016-03-04,0.002293540012500551
2016-03-08,-0.0005543074675839598
2016-03-09,-0.0018862806804176857
2016-03-10,-0.01938621019057697
2016-03-11,0.011110572704173753
2016-03-14,-0.003063928767694149
2016-03-15,-0.016593152640591212
2016-03-16,0.005394363652997414
2016-03-17,0.015613061575889868
2016-03-18,0.0049582989886146666
2016-03-21,-0.003710906844135401
2016-03-22,-0.001858377965648946
2016-03-23,-0.002060220983995954
2016-03-28,-0.013410968568957465
2016-03-29,-0.00010878878182924711
2016-03-30,0.01149625177489373
2016-03-31,0.003086693571362662
2016-04-01,-0.002490009520269729
2016-04-04,0.009030537692488634
2016-04-05,-0.014443267086168962
2016-04-06,-0.0018349425330863307
2016-04-07,-0.010200453036765353
2016-04-08,-0.008503957069766548
2016-04-11,0.009932026898905053
2016-04-12,-0.0009160987102454676
2016-04-13,-0.005126019250350765
2016-04-18,0.03590225914113111
2016-04-20,0.002523395708650375
2016-04-21,-0.008874032480743543
2016-04-22,-0.007829207908719597
2016-04-25,0.0024228334429338624
2016-04-26,0.008552040774743076
2016-04-27,0.004141772311899302
2016-04-28,-0.015946012249616295
2016-04-29,-0.0005540085570168975
2016-05-02,-0.0037224682124471155
2016-05-03,-0.012349036546015907
2016-05-04,0.0059848964291574335
2016-05-05,0.0019317018115797761
2016-05-06,-0.005857770923908664
2016-05-09,0.009475578847673855
2016-05-10,0.0073152711503624065
2016-05-11,-0.004813288551026867
2016-05-12,0.008171096625076488
2016-05-13,-0.006446828720487548
2016-05-16,0.01734229066622189
2016-05-17,-0.007264992859447418
2016-05-18,-0.010025712525172424
2016-05-19,-0.0010690954758028844
2016-05-20,0.0012687917150176506
2016-05-23,-0.0032862640069308935
2016-05-24,0.0025430647163751825
2016-05-25,0.026431226585698034
2016-05-26,0.007661592686222059
2016-05-27,0.0027106093731133728
2016-05-30,-0.005366702595354164
2016-05-31,0.0016463577161758044
2016-06-01,-0.005159723570805198
2016-06-02,-0.00015369684192878143
2016-06-03,-0.002460690706646821
